Make,Model,Fuel type,Capacity,YoM,Mileage,Consumption,Country of manufacture,Body type,Service cost
JAGUAR,X-Type,Premium,3.0L,2007,7.7 km/L,13.1 L/100km,UK,Compact Cars,"KES 1,110,000/year"
JAGUAR,S-Type,Premium,3.0L,2007,8.5 km/L,11.8 L/100km,UK,Midsize Cars,"KES 690,000/year"
JAGUAR,XJR,Premium,4.2L,2007,7.7 km/L,13.1 L/100km,UK,Large Cars,"KES 1,515,000/year"
JAGUAR,XJ,Premium,4.2L,2008,8.1 km/L,12.4 L/100km,UK,Large Cars,"KES 830,000/year"
JAGUAR,XK,Premium,4.2L,2008,8.1 km/L,12.4 L/100km,UK,Minicompact Cars,"KES 1,140,000/year"
JAGUAR,X-Type,Premium,3.0L,2008,7.7 km/L,13.1 L/100km,UK,Compact Cars,"KES 930,000/year"
JAGUAR,S-Type,Premium,3.0L,2008,8.5 km/L,11.8 L/100km,UK,Midsize Cars,"KES 975,000/year"
JAGUAR,XJ,Premium,4.2L,2009,8.1 km/L,12.4 L/100km,UK,Large Cars,"KES 1,230,000/year"
JAGUAR,XF,Premium,4.2L,2009,8.1 km/L,12.4 L/100km,UK,Midsize Cars,"KES 1,050,000/year"
JAGUAR,XK,Premium,4.2L,2009,8.1 km/L,12.4 L/100km,UK,Minicompact Cars,"KES 1,245,000/year"
JAGUAR,XJ,Premium,5.0L,2010,8.1 km/L,12.4 L/100km,UK,Large Cars,"KES 1,035,000/year"
JAGUAR,XF,Premium,4.2L,2010,8.1 km/L,12.4 L/100km,UK,Midsize Cars,"KES 1,280,000/year"
JAGUAR,XK,Premium,5.0L,2010,8.1 km/L,12.4 L/100km,UK,Minicompact Cars,"KES 830,000/year"
JAGUAR,XJ,Premium,5.0L,2011,7.7 km/L,13.1 L/100km,UK,Large Cars,"KES 1,045,000/year"
JAGUAR,XF,Premium,5.0L,2011,8.1 km/L,12.4 L/100km,UK,Midsize Cars,"KES 980,000/year"
JAGUAR,XK,Premium,5.0L,2011,8.1 km/L,12.4 L/100km,UK,Minicompact Cars,"KES 1,280,000/year"
JAGUAR,XJ,Premium,5.0L,2012,8.1 km/L,12.4 L/100km,UK,Large Cars,"KES 1,345,000/year"
JAGUAR,XF,Premium,5.0L,2012,7.2 km/L,13.8 L/100km,UK,Midsize Cars,"KES 1,560,000/year"
JAGUAR,XK,Premium,5.0L,2012,7.2 km/L,13.8 L/100km,UK,Minicompact Cars,"KES 970,000/year"
JAGUAR,XJ,Premium,5.0L,2013,7.7 km/L,13.1 L/100km,UK,Large Cars,"KES 885,000/year"
JAGUAR,XF,Premium,3.0L,2013,8.9 km/L,11.2 L/100km,UK,Midsize Cars,"KES 635,000/year"
JAGUAR,XK,Premium,5.0L,2013,7.2 km/L,13.8 L/100km,UK,Minicompact Cars,"KES 1,175,000/year"
JAGUAR,XJ,Premium,5.0L,2014,7.7 km/L,13.1 L/100km,UK,Large Cars,"KES 940,000/year"
JAGUAR,XF,Premium,2.0L,2014,9.8 km/L,10.2 L/100km,UK,Midsize Cars,"KES 315,000/year"
JAGUAR,XK,Premium,5.0L,2014,7.7 km/L,13.1 L/100km,UK,Minicompact Cars,"KES 1,195,000/year"
JAGUAR,F-TYPE,Premium,5.0L,2014,7.7 km/L,13.1 L/100km,UK,Two Seaters,"KES 760,000/year"
JAGUAR,XJ,Premium,5.0L,2015,7.7 km/L,13.1 L/100km,UK,Large Cars,"KES 1,250,000/year"
JAGUAR,XF,Premium,5.0L,2015,7.7 km/L,13.1 L/100km,UK,Midsize Cars,"KES 885,000/year"
JAGUAR,XK,Premium,5.0L,2015,8.1 km/L,12.4 L/100km,UK,Minicompact Cars,"KES 740,000/year"
JAGUAR,F-TYPE,Premium,5.0L,2015,7.7 km/L,13.1 L/100km,UK,Two Seaters,"KES 725,000/year"
JAGUAR,XJ,Premium,5.0L,2016,7.7 km/L,13.1 L/100km,UK,Large Cars,"KES 1,000,000/year"
JAGUAR,XF,Premium,3.0L,2016,9.8 km/L,10.2 L/100km,UK,Midsize Cars,"KES 705,000/year"
JAGUAR,F-TYPE,Premium,3.0L,2016,9.4 km/L,10.7 L/100km,UK,Two Seaters,"KES 515,000/year"
JAGUAR,XJ,Premium,5.0L,2017,7.7 km/L,13.1 L/100km,UK,Large Cars,"KES 1,140,000/year"
JAGUAR,XF,Premium,3.0L,2017,9.8 km/L,10.2 L/100km,UK,Midsize Cars,"KES 530,000/year"
JAGUAR,F-TYPE,Premium,5.0L,2017,7.7 km/L,13.1 L/100km,UK,Two Seaters,"KES 1,125,000/year"
JAGUAR,XE,Premium,2.0L,2017,10.2 km/L,9.8 L/100km,UK,Compact Cars,"KES 475,000/year"
JAGUAR,F-PACE,Premium,3.0L,2017,8.5 km/L,11.8 L/100km,UK,Small Sport Utility Vehicle 4WD,"KES 825,000/year"
JAGUAR,XJ,Premium,5.0L,2018,7.7 km/L,13.1 L/100km,UK,Large Cars,"KES 615,000/year"
JAGUAR,XF,Premium,3.0L,2018,9.8 km/L,10.2 L/100km,UK,Midsize Cars,"KES 680,000/year"
JAGUAR,F-TYPE,Premium,3.0L,2018,9.8 km/L,10.2 L/100km,UK,Two Seaters,"KES 610,000/year"
JAGUAR,XE,Premium,3.0L,2018,10.2 km/L,9.8 L/100km,UK,Compact Cars,"KES 560,000/year"
JAGUAR,F-PACE,Premium,3.0L,2018,8.5 km/L,11.8 L/100km,UK,Small Sport Utility Vehicle 4WD,"KES 675,000/year"
JAGUAR,E-PACE,Premium,2.0L,2018,9.8 km/L,10.2 L/100km,UK,Small Sport Utility Vehicle 4WD,"KES 400,000/year"
JAGUAR,XJ,Premium,3.0L,2019,8.9 km/L,11.2 L/100km,UK,Large Cars,"KES 310,000/year"
JAGUAR,XF,Premium,2.0L,2019,11.9 km/L,8.4 L/100km,UK,Midsize Cars,"KES 285,000/year"
JAGUAR,F-TYPE,Premium,2.0L,2019,11.1 km/L,9.0 L/100km,UK,Two Seaters,"KES 375,000/year"
JAGUAR,XE,Premium,2.0L,2019,11.9 km/L,8.4 L/100km,UK,Compact Cars,"KES 330,000/year"
JAGUAR,F-PACE,Premium,2.0L,2019,10.2 km/L,9.8 L/100km,UK,Small Sport Utility Vehicle 4WD,"KES 290,000/year"
JAGUAR,E-PACE,Premium,2.0L,2019,10.2 km/L,9.8 L/100km,UK,Small Sport Utility Vehicle 4WD,"KES 290,000/year"
JAGUAR,I-PACE,Electricity,UnknownL,2019,32.3 km/L,3.1 L/100km,UK,Small Sport Utility Vehicle 4WD,"KES 250,000/year"
TOYOTA,Corolla,Regular,1.8L,2000,11.1 km/L,9.0 L/100km,Japan,Compact Cars,"KES 240,000/year"
TOYOTA,Land Cruiser,Regular,4.7L,2000,5.5 km/L,18.1 L/100km,Japan,Sport Utility Vehicle - 4WD,"KES 755,000/year"
TOYOTA,4-Runner,Regular,1.8L,2000,10.2 km/L,9.8 L/100km,Japan,Two Seaters,"KES 170,000/year"
TOYOTA,RAV4,Regular,2.0L,2000,9.8 km/L,10.2 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 295,000/year"
TOYOTA,Tacoma,Regular,2.4L,2000,8.5 km/L,11.8 L/100km,Japan,Standard Pickup Trucks 2WD,"KES 295,000/year"
TOYOTA,Avalon,Regular,3.0L,2000,9.4 km/L,10.7 L/100km,Japan,Large Cars,"KES 395,000/year"
TOYOTA,Tundra,Regular,3.4L,2000,6.8 km/L,14.7 L/100km,Japan,Standard Pickup Trucks 2WD,"KES 465,000/year"
TOYOTA,Sienna,Regular,3.0L,2000,8.1 km/L,12.4 L/100km,Japan,Minivan - 2WD,"KES 560,000/year"
TOYOTA,Camry,Regular,2.2L,2000,9.8 km/L,10.2 L/100km,Japan,Subcompact Cars,"KES 270,000/year"
TOYOTA,Camry Solara,Regular,2.2L,2000,9.8 km/L,10.2 L/100km,Japan,Subcompact Cars,"KES 270,000/year"
TOYOTA,Sequoia,Regular,1.8L,2000,10.2 km/L,9.8 L/100km,Japan,Two Seaters,"KES 145,000/year"
TOYOTA,Celica,Regular,1.8L,2000,11.1 km/L,9.0 L/100km,Japan,Subcompact Cars,"KES 225,000/year"
TOYOTA,MR2,Regular,1.8L,2000,10.2 km/L,9.8 L/100km,Japan,Two Seaters,"KES 205,000/year"
TOYOTA,Paseo,Regular,1.8L,2000,10.2 km/L,9.8 L/100km,Japan,Two Seaters,"KES 270,000/year"
TOYOTA,Echo,Regular,1.5L,2000,12.8 km/L,7.8 L/100km,Japan,Compact Cars,"KES 215,000/year"
TOYOTA,Corolla,Regular,1.8L,2001,11.5 km/L,8.7 L/100km,Japan,Compact Cars,"KES 190,000/year"
TOYOTA,Prius,Regular,1.5L,2001,17.4 km/L,5.7 L/100km,Japan,Compact Cars,"KES 145,000/year"
TOYOTA,Land Cruiser,Regular,4.7L,2001,5.5 km/L,18.1 L/100km,Japan,Sport Utility Vehicle - 4WD,"KES 480,000/year"
TOYOTA,Highlander,Regular,2.4L,2001,9.4 km/L,10.7 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 240,000/year"
TOYOTA,4-Runner,Regular,1.8L,2001,10.2 km/L,9.8 L/100km,Japan,Two Seaters,"KES 255,000/year"
TOYOTA,RAV4,Regular,2.0L,2001,9.8 km/L,10.2 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 330,000/year"
TOYOTA,Tacoma,Regular,2.4L,2001,8.5 km/L,11.8 L/100km,Japan,Standard Pickup Trucks 2WD,"KES 320,000/year"
TOYOTA,Avalon,Regular,3.0L,2001,8.9 km/L,11.2 L/100km,Japan,Large Cars,"KES 525,000/year"
TOYOTA,Tundra,Regular,3.4L,2001,6.8 km/L,14.7 L/100km,Japan,Standard Pickup Trucks 2WD,"KES 305,000/year"
TOYOTA,Sienna,Regular,3.0L,2001,8.1 km/L,12.4 L/100km,Japan,Minivan - 2WD,"KES 525,000/year"
TOYOTA,Camry,Regular,2.2L,2001,9.4 km/L,10.7 L/100km,Japan,Subcompact Cars,"KES 315,000/year"
TOYOTA,Camry Solara,Regular,2.2L,2001,9.4 km/L,10.7 L/100km,Japan,Subcompact Cars,"KES 370,000/year"
TOYOTA,Sequoia,Regular,4.7L,2001,6.0 km/L,16.8 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 770,000/year"
TOYOTA,Celica,Regular,1.8L,2001,11.9 km/L,8.4 L/100km,Japan,Subcompact Cars,"KES 265,000/year"
TOYOTA,MR2,Regular,1.8L,2001,10.2 km/L,9.8 L/100km,Japan,Two Seaters,"KES 190,000/year"
TOYOTA,Paseo,Regular,1.8L,2001,10.2 km/L,9.8 L/100km,Japan,Two Seaters,"KES 250,000/year"
TOYOTA,Echo,Regular,1.5L,2001,12.8 km/L,7.8 L/100km,Japan,Compact Cars,"KES 145,000/year"
TOYOTA,Corolla,Regular,1.8L,2002,11.5 km/L,8.7 L/100km,Japan,Compact Cars,"KES 180,000/year"
TOYOTA,Prius,Regular,1.5L,2002,17.4 km/L,5.7 L/100km,Japan,Compact Cars,"KES 115,000/year"
TOYOTA,Land Cruiser,Regular,4.7L,2002,5.5 km/L,18.1 L/100km,Japan,Sport Utility Vehicle - 4WD,"KES 945,000/year"
TOYOTA,Highlander,Regular,2.4L,2002,9.4 km/L,10.7 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 325,000/year"
TOYOTA,4-Runner,Regular,1.8L,2002,10.2 km/L,9.8 L/100km,Japan,Two Seaters,"KES 200,000/year"
TOYOTA,RAV4,Regular,2.0L,2002,9.8 km/L,10.2 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 330,000/year"
TOYOTA,Tacoma,Regular,2.4L,2002,8.9 km/L,11.2 L/100km,Japan,Standard Pickup Trucks 2WD,"KES 240,000/year"
TOYOTA,Avalon,Regular,3.0L,2002,9.4 km/L,10.7 L/100km,Japan,Large Cars,"KES 365,000/year"
TOYOTA,Tundra,Regular,3.4L,2002,6.8 km/L,14.7 L/100km,Japan,Standard Pickup Trucks 2WD,"KES 445,000/year"
TOYOTA,Sienna,Regular,3.0L,2002,8.1 km/L,12.4 L/100km,Japan,Minivan - 2WD,"KES 425,000/year"
TOYOTA,Camry,Regular,2.4L,2002,9.8 km/L,10.2 L/100km,Japan,Subcompact Cars,"KES 250,000/year"
TOYOTA,Camry,Regular,2.4L,2002,9.8 km/L,10.2 L/100km,Japan,Subcompact Cars,"KES 355,000/year"
TOYOTA,Camry Solara,Regular,2.4L,2002,9.8 km/L,10.2 L/100km,Japan,Subcompact Cars,"KES 290,000/year"
TOYOTA,Sequoia,Regular,4.7L,2002,6.0 km/L,16.8 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 655,000/year"
TOYOTA,Celica,Regular,1.8L,2002,11.9 km/L,8.4 L/100km,Japan,Subcompact Cars,"KES 295,000/year"
TOYOTA,MR2,Regular,1.8L,2002,10.2 km/L,9.8 L/100km,Japan,Two Seaters,"KES 250,000/year"
TOYOTA,Paseo,Regular,1.8L,2002,10.2 km/L,9.8 L/100km,Japan,Two Seaters,"KES 220,000/year"
TOYOTA,Echo,Regular,1.5L,2002,12.8 km/L,7.8 L/100km,Japan,Compact Cars,"KES 155,000/year"
TOYOTA,Corolla,Regular,1.8L,2003,11.9 km/L,8.4 L/100km,Japan,Compact Cars,"KES 275,000/year"
TOYOTA,Prius,Regular,1.5L,2003,17.4 km/L,5.7 L/100km,Japan,Compact Cars,"KES 205,000/year"
TOYOTA,Land Cruiser,Regular,4.7L,2003,5.5 km/L,18.1 L/100km,Japan,Sport Utility Vehicle - 4WD,"KES 775,000/year"
TOYOTA,Highlander,Regular,2.4L,2003,9.4 km/L,10.7 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 260,000/year"
TOYOTA,4-Runner,Regular,1.8L,2003,10.6 km/L,9.4 L/100km,Japan,Two Seaters,"KES 210,000/year"
TOYOTA,RAV4,Regular,2.0L,2003,9.8 km/L,10.2 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 220,000/year"
TOYOTA,Tacoma,Regular,2.4L,2003,8.9 km/L,11.2 L/100km,Japan,Standard Pickup Trucks 2WD,"KES 230,000/year"
TOYOTA,Avalon,Regular,3.0L,2003,9.4 km/L,10.7 L/100km,Japan,Large Cars,"KES 390,000/year"
TOYOTA,Avalon,Regular,3.0L,2003,9.4 km/L,10.7 L/100km,Japan,Large Cars,"KES 405,000/year"
TOYOTA,Corolla Matrix,Regular,1.8L,2003,11.9 km/L,8.4 L/100km,Japan,Compact Cars,"KES 185,000/year"
TOYOTA,Tundra,Regular,3.4L,2003,6.8 km/L,14.7 L/100km,Japan,Standard Pickup Trucks 2WD,"KES 540,000/year"
TOYOTA,Sienna,Regular,3.0L,2003,8.1 km/L,12.4 L/100km,Japan,Minivan - 2WD,"KES 355,000/year"
TOYOTA,Camry,Regular,2.4L,2003,9.8 km/L,10.2 L/100km,Japan,Subcompact Cars,"KES 280,000/year"
TOYOTA,Camry,Regular,2.4L,2003,9.8 km/L,10.2 L/100km,Japan,Subcompact Cars,"KES 340,000/year"
TOYOTA,Camry Solara,Regular,2.4L,2003,9.8 km/L,10.2 L/100km,Japan,Subcompact Cars,"KES 200,000/year"
TOYOTA,Sequoia,Regular,4.7L,2003,6.0 km/L,16.8 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 585,000/year"
TOYOTA,Celica,Regular,1.8L,2003,11.9 km/L,8.4 L/100km,Japan,Subcompact Cars,"KES 225,000/year"
TOYOTA,MR2,Regular,1.8L,2003,10.6 km/L,9.4 L/100km,Japan,Two Seaters,"KES 165,000/year"
TOYOTA,Paseo,Regular,1.8L,2003,10.6 km/L,9.4 L/100km,Japan,Two Seaters,"KES 225,000/year"
TOYOTA,Echo,Regular,1.5L,2003,13.2 km/L,7.6 L/100km,Japan,Compact Cars,"KES 220,000/year"
TOYOTA,Scion xA,Regular,1.8L,2004,10.6 km/L,9.4 L/100km,Japan,Two Seaters,"KES 260,000/year"
TOYOTA,Corolla,Regular,1.8L,2004,11.9 km/L,8.4 L/100km,Japan,Compact Cars,"KES 240,000/year"
TOYOTA,Prius,Regular,1.5L,2004,19.6 km/L,5.1 L/100km,Japan,Midsize Cars,"KES 145,000/year"
TOYOTA,Scion xB,Regular,1.8L,2004,10.6 km/L,9.4 L/100km,Japan,Two Seaters,"KES 180,000/year"
TOYOTA,Land Cruiser,Regular,4.7L,2004,5.5 km/L,18.1 L/100km,Japan,Sport Utility Vehicle - 4WD,"KES 680,000/year"
TOYOTA,Highlander,Regular,2.4L,2004,9.4 km/L,10.7 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 375,000/year"
TOYOTA,4-Runner,Regular,1.8L,2004,10.6 km/L,9.4 L/100km,Japan,Two Seaters,"KES 170,000/year"
TOYOTA,RAV4,Regular,2.4L,2004,9.8 km/L,10.2 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 330,000/year"
TOYOTA,Tacoma,Regular,2.4L,2004,8.9 km/L,11.2 L/100km,Japan,Standard Pickup Trucks 2WD,"KES 320,000/year"
TOYOTA,Avalon,Regular,3.0L,2004,9.4 km/L,10.7 L/100km,Japan,Large Cars,"KES 385,000/year"
TOYOTA,Avalon,Regular,3.0L,2004,9.4 km/L,10.7 L/100km,Japan,Large Cars,"KES 465,000/year"
TOYOTA,Corolla Matrix,Regular,1.8L,2004,11.9 km/L,8.4 L/100km,Japan,Compact Cars,"KES 140,000/year"
TOYOTA,Tundra,Regular,3.4L,2004,6.8 km/L,14.7 L/100km,Japan,Standard Pickup Trucks 2WD,"KES 455,000/year"
TOYOTA,Sienna,Regular,3.3L,2004,8.5 km/L,11.8 L/100km,Japan,Minivan - 2WD,"KES 445,000/year"
TOYOTA,Camry,Regular,3.3L,2004,8.9 km/L,11.2 L/100km,Japan,Compact Cars,"KES 485,000/year"
TOYOTA,Camry,Regular,3.3L,2004,8.9 km/L,11.2 L/100km,Japan,Compact Cars,"KES 540,000/year"
TOYOTA,Camry Solara,Regular,3.3L,2004,8.9 km/L,11.2 L/100km,Japan,Compact Cars,"KES 520,000/year"
TOYOTA,Sequoia,Regular,4.7L,2004,6.0 km/L,16.8 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 540,000/year"
TOYOTA,Celica,Regular,1.8L,2004,11.9 km/L,8.4 L/100km,Japan,Subcompact Cars,"KES 250,000/year"
TOYOTA,MR2,Regular,1.8L,2004,10.6 km/L,9.4 L/100km,Japan,Two Seaters,"KES 190,000/year"
TOYOTA,Paseo,Regular,1.8L,2004,10.6 km/L,9.4 L/100km,Japan,Two Seaters,"KES 240,000/year"
TOYOTA,Echo,Regular,1.5L,2004,13.2 km/L,7.6 L/100km,Japan,Compact Cars,"KES 120,000/year"
TOYOTA,Scion xA,Regular,1.8L,2005,10.6 km/L,9.4 L/100km,Japan,Two Seaters,"KES 205,000/year"
TOYOTA,Scion tC,Regular,1.8L,2005,10.6 km/L,9.4 L/100km,Japan,Two Seaters,"KES 175,000/year"
TOYOTA,Corolla,Regular,1.8L,2005,12.3 km/L,8.1 L/100km,Japan,Compact Cars,"KES 150,000/year"
TOYOTA,Prius,Regular,1.5L,2005,19.6 km/L,5.1 L/100km,Japan,Midsize Cars,"KES 110,000/year"
TOYOTA,Scion xB,Regular,1.8L,2005,10.6 km/L,9.4 L/100km,Japan,Two Seaters,"KES 215,000/year"
TOYOTA,Land Cruiser,Regular,4.7L,2005,5.5 km/L,18.1 L/100km,Japan,Sport Utility Vehicle - 4WD,"KES 465,000/year"
TOYOTA,Highlander,Regular,2.4L,2005,9.4 km/L,10.7 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 300,000/year"
TOYOTA,4-Runner,Regular,1.8L,2005,10.6 km/L,9.4 L/100km,Japan,Two Seaters,"KES 170,000/year"
TOYOTA,RAV4,Regular,2.4L,2005,9.8 km/L,10.2 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 355,000/year"
TOYOTA,Tacoma,Regular,2.7L,2005,8.9 km/L,11.2 L/100km,Japan,Standard Pickup Trucks 2WD,"KES 455,000/year"
TOYOTA,Avalon,Regular,3.5L,2005,9.4 km/L,10.7 L/100km,Japan,Large Cars,"KES 915,000/year"
TOYOTA,Corolla Matrix,Regular,1.8L,2005,12.3 km/L,8.1 L/100km,Japan,Compact Cars,"KES 160,000/year"
TOYOTA,Tundra,Regular,4.0L,2005,7.7 km/L,13.1 L/100km,Japan,Standard Pickup Trucks 2WD,"KES 670,000/year"
TOYOTA,Sienna,Regular,3.3L,2005,8.1 km/L,12.4 L/100km,Japan,Minivan - 2WD,"KES 450,000/year"
TOYOTA,Camry,Regular,2.4L,2005,10.2 km/L,9.8 L/100km,Japan,Compact Cars,"KES 235,000/year"
TOYOTA,Camry Solara,Regular,2.4L,2005,10.2 km/L,9.8 L/100km,Japan,Compact Cars,"KES 200,000/year"
TOYOTA,Sequoia,Regular,4.7L,2005,6.4 km/L,15.7 L/100km,Japan,Sport Utility Vehicle - 2WD,"KES 620,000/year"
TOYOTA,Celica,Regular,1.8L,2005,11.9 km/L,8.4 L/100km,Japan,Subcompact Cars,"KES 160,000/year"
TOYOTA,MR2,Regular,1.8L,2005,10.6 km/L,9.4 L/100km,Japan,Two Seaters,"KES 195,000/year"
TOYOTA,Paseo,Regular,1.8L,2005,10.6 km/L,9.4 L/100km,Japan,Two Seaters,"KES 285,000/year"
TOYOTA,Echo,Regular,1.5L,2005,13.2 km/L,7.6 L/100km,Japan,Compact Cars,"KES 205,000/year"
TOYOTA,Scion xA,Regular,2.4L,2006,10.2 km/L,9.8 L/100km,Japan,Compact Cars,"KES 260,000/year"
TOYOTA,Scion tC,Regular,2.4L,2006,10.2 km/L,9.8 L/100km,Japan,Compact Cars,"KES 175,000/year"
